1599758101|0.033250|0.050411|0.113652|0.113754|0.132002|0.132333|4858
1599758161|0.064318|0.081609|0.182413|0.182487|0.200171|0.200329|4858
1599758221|0.095253|0.112613|0.198196|0.198295|0.217342|0.217483|4858
1599758281|0.101308|0.118754|0.213041|0.213144|0.231272|0.231400|4858
1599758341|0.092447|0.109796|0.151406|0.151495|0.205217|0.205288|4858
1599758401|0.063988|0.081454|0.432200|0.432310|0.451409|0.451508|4858
1599758461|0.068698|0.086490|0.143554|0.143646|0.172934|0.172992|4858
1599758521|0.068662|0.086094|0.180391|0.180467|0.198652|0.198714|4858
1599758581|0.062327|0.079784|0.176430|0.176518|0.201800|0.201969|4858
1599758641|0.083034|0.100650|0.135565|0.135664|0.153796|0.153853|4858
1599758701|0.062190|0.079626|0.130841|0.130917|0.180684|0.180762|4858
1599758761|0.040613|0.057918|0.131758|0.131855|0.150662|0.150730|4858
1599758821|0.061835|0.079051|0.119173|0.119261|0.138065|0.138144|4858
1599758881|0.075248|0.092634|0.143816|0.143938|0.162851|0.162902|4858
1599758941|0.061423|0.078672|0.174965|0.175077|0.193000|0.193068|4858
1599759001|0.046164|0.063512|0.148584|0.148658|0.167618|0.167686|4858
1599759061|0.058981|0.076362|0.142593|0.142668|0.161320|0.161384|4858
1599759121|0.052568|0.070053|0.154022|0.154094|0.173294|0.173352|4858
1599759181|0.028672|0.046152|0.113983|0.114070|0.132927|0.132996|4858
1599759241|0.060941|0.078793|0.131853|0.131930|0.163955|0.164019|4858
1599759301|0.063240|0.082057|0.147907|0.148002|0.171727|0.171793|4858
1599759361|0.089090|0.100833|0.139168|0.139259|0.158428|0.158545|4858
1599759421|0.063774|0.080955|0.152273|0.152375|0.171530|0.171591|4858
1599759481|0.076851|0.094385|0.178406|0.178513|0.197185|0.197332|4858
1599759541|0.092651|0.110240|0.175019|0.175104|0.212271|0.212333|4858
1599759601|0.060681|0.078116|0.121476|0.121572|0.141138|0.141195|4858
1599759661|0.064139|0.081559|0.141615|0.141706|0.160844|0.160901|4858
1599759721|0.061290|0.078522|0.153985|0.154082|0.172101|0.172169|4858
1599759781|0.072507|0.089859|0.164394|0.164494|0.187652|0.187717|4858
1599759841|0.062762|0.080065|0.134805|0.134911|0.181300|0.181371|4858
1599759901|0.028569|0.063219|0.174886|0.174976|0.193422|0.193484|4858
1599759961|0.141666|0.158830|0.235344|0.235425|0.254008|0.254065|4858
1599760021|0.047733|0.065037|0.133318|0.133414|0.151556|0.151621|4858
1599760081|0.073158|0.090588|0.130335|0.130588|0.192734|0.192794|4858
1599760141|0.152888|0.170319|0.251035|0.251115|0.269645|0.269722|4858
1599760201|0.088169|0.105630|0.146412|0.146506|0.165047|0.165116|4858
1599760261|0.038097|0.055474|0.121643|0.121736|0.140029|0.140096|4858
1599760321|0.063851|0.081511|0.140283|0.140368|0.158714|0.158922|4858
